file,variable,value
dfxml-01,xml,1064
dfxml-01,xml.gz,563
dfxml-01,xml.bz2,614
dfxml-01,xml.zip,708
dfxml-01,xml.bitpacked_exi,660
dfxml-01,xml.bitpacked_exi.gz,663
dfxml-01,xml.bitpacked_exi.bz2,771
dfxml-01,xml.bitpacked_exi.zip,816
dfxml-01,xml.bytealigned_exi,735
dfxml-01,xml.bytealigned_exi.gz,534
dfxml-01,xml.bytealigned_exi.bz2,577
dfxml-01,xml.bytealigned_exi.zip,689
dfxml-01,xml.precompress_exi,735
dfxml-01,xml.precompress_exi.gz,524
dfxml-01,xml.precompress_exi.bz2,572
dfxml-01,xml.precompress_exi.zip,679
dfxml-01,xml.compress_exi,479
dfxml-01,xml.compress_exi.gz,524
dfxml-01,xml.compress_exi.bz2,640
dfxml-01,xml.compress_exi.zip,671
dfxml-01,xml.schema_bitpacked_exi,338
dfxml-01,xml.schema_bitpacked_exi.gz,363
dfxml-01,xml.schema_bitpacked_exi.bz2,435
dfxml-01,xml.schema_bitpacked_exi.zip,523
dfxml-01,xml.schema_bytealigned_exi,386
dfxml-01,xml.schema_bytealigned_exi.gz,317
dfxml-01,xml.schema_bytealigned_exi.bz2,329
dfxml-01,xml.schema_bytealigned_exi.zip,479
dfxml-01,xml.schema_precompress_exi,386
dfxml-01,xml.schema_precompress_exi.gz,314
dfxml-01,xml.schema_precompress_exi.bz2,336
dfxml-01,xml.schema_precompress_exi.zip,476
dfxml-01,xml.schema_compress_exi,263
dfxml-01,xml.schema_compress_exi.gz,315
dfxml-01,xml.schema_compress_exi.bz2,426
dfxml-01,xml.schema_compress_exi.zip,469
dfxml-01,xml.strict_bitpacked_exi,333
dfxml-01,xml.strict_bitpacked_exi.gz,314
dfxml-01,xml.strict_bitpacked_exi.bz2,400
dfxml-01,xml.strict_bitpacked_exi.zip,474
dfxml-01,xml.strict_bytealigned_exi,376
dfxml-01,xml.strict_bytealigned_exi.gz,312
dfxml-01,xml.strict_bytealigned_exi.bz2,327
dfxml-01,xml.strict_bytealigned_exi.zip,474
dfxml-01,xml.strict_precompress_exi,376
dfxml-01,xml.strict_precompress_exi.gz,307
dfxml-01,xml.strict_precompress_exi.bz2,328
dfxml-01,xml.strict_precompress_exi.zip,469
dfxml-01,xml.strict_compress_exi,258
dfxml-01,xml.strict_compress_exi.gz,310
dfxml-01,xml.strict_compress_exi.bz2,416
dfxml-01,xml.strict_compress_exi.zip,464
dfxml-02,xml,1067
dfxml-02,xml.gz,563
dfxml-02,xml.bz2,614
dfxml-02,xml.zip,708
dfxml-02,xml.bitpacked_exi,663
dfxml-02,xml.bitpacked_exi.gz,665
dfxml-02,xml.bitpacked_exi.bz2,773
dfxml-02,xml.bitpacked_exi.zip,818
dfxml-02,xml.bytealigned_exi,738
dfxml-02,xml.bytealigned_exi.gz,534
dfxml-02,xml.bytealigned_exi.bz2,576
dfxml-02,xml.bytealigned_exi.zip,689
dfxml-02,xml.precompress_exi,738
dfxml-02,xml.precompress_exi.gz,524
dfxml-02,xml.precompress_exi.bz2,574
dfxml-02,xml.precompress_exi.zip,679
dfxml-02,xml.compress_exi,479
dfxml-02,xml.compress_exi.gz,524
dfxml-02,xml.compress_exi.bz2,642
dfxml-02,xml.compress_exi.zip,671
dfxml-02,xml.schema_bitpacked_exi,341
dfxml-02,xml.schema_bitpacked_exi.gz,365
dfxml-02,xml.schema_bitpacked_exi.bz2,435
dfxml-02,xml.schema_bitpacked_exi.zip,525
dfxml-02,xml.schema_bytealigned_exi,389
dfxml-02,xml.schema_bytealigned_exi.gz,321
dfxml-02,xml.schema_bytealigned_exi.bz2,336
dfxml-02,xml.schema_bytealigned_exi.zip,483
dfxml-02,xml.schema_precompress_exi,389
dfxml-02,xml.schema_precompress_exi.gz,316
dfxml-02,xml.schema_precompress_exi.bz2,334
dfxml-02,xml.schema_precompress_exi.zip,478
dfxml-02,xml.schema_compress_exi,266
dfxml-02,xml.schema_compress_exi.gz,318
dfxml-02,xml.schema_compress_exi.bz2,429
dfxml-02,xml.schema_compress_exi.zip,472
dfxml-02,xml.strict_bitpacked_exi,336
dfxml-02,xml.strict_bitpacked_exi.gz,316
dfxml-02,xml.strict_bitpacked_exi.bz2,383
dfxml-02,xml.strict_bitpacked_exi.zip,476
dfxml-02,xml.strict_bytealigned_exi,379
dfxml-02,xml.strict_bytealigned_exi.gz,316
dfxml-02,xml.strict_bytealigned_exi.bz2,326
dfxml-02,xml.strict_bytealigned_exi.zip,478
dfxml-02,xml.strict_precompress_exi,379
dfxml-02,xml.strict_precompress_exi.gz,310
dfxml-02,xml.strict_precompress_exi.bz2,334
dfxml-02,xml.strict_precompress_exi.zip,472
dfxml-02,xml.strict_compress_exi,260
dfxml-02,xml.strict_compress_exi.gz,312
dfxml-02,xml.strict_compress_exi.bz2,415
dfxml-02,xml.strict_compress_exi.zip,466
dfxml-03,xml,1562
dfxml-03,xml.gz,672
dfxml-03,xml.bz2,754
dfxml-03,xml.zip,817
dfxml-03,xml.bitpacked_exi,825
dfxml-03,xml.bitpacked_exi.gz,830
dfxml-03,xml.bitpacked_exi.bz2,951
dfxml-03,xml.bitpacked_exi.zip,983
dfxml-03,xml.bytealigned_exi,951
dfxml-03,xml.bytealigned_exi.gz,651
dfxml-03,xml.bytealigned_exi.bz2,693
dfxml-03,xml.bytealigned_exi.zip,806
dfxml-03,xml.precompress_exi,951
dfxml-03,xml.precompress_exi.gz,635
dfxml-03,xml.precompress_exi.bz2,679
dfxml-03,xml.precompress_exi.zip,790
dfxml-03,xml.compress_exi,591
dfxml-03,xml.compress_exi.gz,636
dfxml-03,xml.compress_exi.bz2,754
dfxml-03,xml.compress_exi.zip,783
dfxml-03,xml.schema_bitpacked_exi,406
dfxml-03,xml.schema_bitpacked_exi.gz,429
