file,variable,value
backpack,docx,14034
backpack,docx.zip,11519
backpack,doce,10694
capcontract,docx,30131
capcontract,docx.zip,25699
capcontract,doce,23320
dodaf,docx,89737
dodaf,docx.zip,85204
dodaf,doce,62693
hello,docx,11482
hello,docx.zip,8936
hello,doce,8363
ipadmin,docx,81734
ipadmin,docx.zip,75018
ipadmin,doce,60429
irb,docx,25592
irb,docx.zip,22026
irb,doce,18934
metoc,docx,13177
metoc,docx.zip,10554
metoc,doce,9744
notes,docx,77553
notes,docx.zip,73871
notes,doce,60648
thesis,docx,86285
thesis,docx.zip,79928
thesis,doce,67418
tsdm,docx,44820
tsdm,docx.zip,38795
tsdm,doce,35418
