file,variable,value
gpx-1-100pts,json,11007
gpx-1-100pts,json.gz,2531
gpx-1-100pts,json.bz2,2273
gpx-1-100pts,json.zip,2679
gpx-1-100pts,json.bson,8519
gpx-1-100pts,json.cbor,7272
gpx-1-100pts,json.eson,5273
gpx-1-100pts,json.bson.gz,2058
gpx-1-100pts,json.bson.bz2,2094
gpx-1-100pts,json.bson.zip,2183
gpx-1-100pts,json.cbor.gz,1784
gpx-1-100pts,json.cbor.bz2,1819
gpx-1-100pts,json.cbor.zip,1976
gpx-1-100pts,json.eson.gz,3053
gpx-1-100pts,json.eson.bz2,3501
gpx-1-100pts,json.eson.zip,3201
gpx-1-10pts,json,1318
gpx-1-10pts,json.gz,469
gpx-1-10pts,json.bz2,530
gpx-1-10pts,json.zip,616
gpx-1-10pts,json.bson,1049
gpx-1-10pts,json.cbor,881
gpx-1-10pts,json.eson,674
gpx-1-10pts,json.bson.gz,431
gpx-1-10pts,json.bson.bz2,508
gpx-1-10pts,json.bson.zip,576
gpx-1-10pts,json.cbor.gz,385
gpx-1-10pts,json.cbor.bz2,432
gpx-1-10pts,json.cbor.zip,530
gpx-1-10pts,json.eson.gz,624
gpx-1-10pts,json.eson.bz2,806
gpx-1-10pts,json.eson.zip,771
gpx-1-110pts,json,12067
gpx-1-110pts,json.gz,2766
gpx-1-110pts,json.bz2,2467
gpx-1-110pts,json.zip,2914
gpx-1-110pts,json.bson,9359
gpx-1-110pts,json.cbor,7982
gpx-1-110pts,json.eson,5778
gpx-1-110pts,json.bson.gz,2282
gpx-1-110pts,json.bson.bz2,2249
gpx-1-110pts,json.bson.zip,2359
gpx-1-110pts,json.cbor.gz,1937
gpx-1-110pts,json.cbor.bz2,1969
gpx-1-110pts,json.cbor.zip,2079
gpx-1-110pts,json.eson.gz,3307
gpx-1-110pts,json.eson.bz2,3750
gpx-1-110pts,json.eson.zip,3455
gpx-1-120pts,json,13141
gpx-1-120pts,json.gz,3002
gpx-1-120pts,json.bz2,2645
gpx-1-120pts,json.zip,3150
gpx-1-120pts,json.bson,10199
gpx-1-120pts,json.cbor,8692
gpx-1-120pts,json.eson,6290
gpx-1-120pts,json.bson.gz,2404
gpx-1-120pts,json.bson.bz2,2359
gpx-1-120pts,json.bson.zip,2483
gpx-1-120pts,json.cbor.gz,2101
gpx-1-120pts,json.cbor.bz2,2171
gpx-1-120pts,json.cbor.zip,2273
gpx-1-120pts,json.eson.gz,3573
gpx-1-120pts,json.eson.bz2,3982
gpx-1-120pts,json.eson.zip,3721
gpx-1-130pts,json,14237
gpx-1-130pts,json.gz,3250
gpx-1-130pts,json.bz2,2844
gpx-1-130pts,json.zip,3398
gpx-1-130pts,json.bson,11039
gpx-1-130pts,json.cbor,9402
gpx-1-130pts,json.eson,6812
gpx-1-130pts,json.bson.gz,2634
gpx-1-130pts,json.bson.bz2,2502
gpx-1-130pts,json.bson.zip,2860
gpx-1-130pts,json.cbor.gz,2307
gpx-1-130pts,json.cbor.bz2,2280
gpx-1-130pts,json.cbor.zip,2427
gpx-1-130pts,json.eson.gz,3833
gpx-1-130pts,json.eson.bz2,4251
gpx-1-130pts,json.eson.zip,3981
gpx-1-140pts,json,15293
gpx-1-140pts,json.gz,3477
gpx-1-140pts,json.bz2,3045
gpx-1-140pts,json.zip,3625
gpx-1-140pts,json.bson,11879
gpx-1-140pts,json.cbor,10112
gpx-1-140pts,json.eson,7314
gpx-1-140pts,json.bson.gz,2747
gpx-1-140pts,json.bson.bz2,2635
gpx-1-140pts,json.bson.zip,2893
gpx-1-140pts,json.cbor.gz,2401
gpx-1-140pts,json.cbor.bz2,2389
gpx-1-140pts,json.cbor.zip,2549
gpx-1-140pts,json.eson.gz,4104
gpx-1-140pts,json.eson.bz2,4547
gpx-1-140pts,json.eson.zip,4252
gpx-1-150pts,json,16361
gpx-1-150pts,json.gz,3697
gpx-1-150pts,json.bz2,3233
gpx-1-150pts,json.zip,3845
gpx-1-150pts,json.bson,12719
gpx-1-150pts,json.cbor,10822
gpx-1-150pts,json.eson,7820
gpx-1-150pts,json.bson.gz,2917
gpx-1-150pts,json.bson.bz2,2861
gpx-1-150pts,json.bson.zip,3015
gpx-1-150pts,json.cbor.gz,2617
gpx-1-150pts,json.cbor.bz2,2547
gpx-1-150pts,json.cbor.zip,2698
gpx-1-150pts,json.eson.gz,4380
gpx-1-150pts,json.eson.bz2,4799
gpx-1-150pts,json.eson.zip,4528
gpx-1-160pts,json,17428
gpx-1-160pts,json.gz,3922
gpx-1-160pts,json.bz2,3401
gpx-1-160pts,json.zip,4070
gpx-1-160pts,json.bson,13559
gpx-1-160pts,json.cbor,11532
gpx-1-160pts,json.eson,8327
gpx-1-160pts,json.bson.gz,3079
gpx-1-160pts,json.bson.bz2,2945
gpx-1-160pts,json.bson.zip,3225
gpx-1-160pts,json.cbor.gz,2734
gpx-1-160pts,json.cbor.bz2,2642
gpx-1-160pts,json.cbor.zip,2845
gpx-1-160pts,json.eson.gz,4627
gpx-1-160pts,json.eson.bz2,5075
gpx-1-160pts,json.eson.zip,4775
gpx-1-170pts,json,18507
gpx-1-170pts,json.gz,4149
gpx-1-170pts,json.bz2,3579
gpx-1-170pts,json.zip,4297
gpx-1-170pts,json.bson,14399
gpx-1-170pts,json.cbor,12242
gpx-1-170pts,json.eson,8840
gpx-1-170pts,json.bson.gz,3403
gpx-1-170pts,json.bson.bz2,3083
