file,variable,value
azores,xml,52938429
azores,xml.gz,5146564
azores,xml.bz2,4010902
azores,xml.zip,5147616
azores,xml.bitpacked_exi,15591899
azores,xml.bitpacked_exi.gz,6314020
azores,xml.bitpacked_exi.bz2,5132981
azores,xml.bitpacked_exi.zip,6353290
azores,xml.bytealigned_exi,18505596
azores,xml.bytealigned_exi.gz,4331652
azores,xml.bytealigned_exi.bz2,3944616
azores,xml.bytealigned_exi.zip,4335258
azores,xml.precompress_exi,18511765
azores,xml.precompress_exi.gz,3766716
azores,xml.precompress_exi.bz2,3801294
azores,xml.precompress_exi.zip,3778151
azores,xml.compress_exi,3746283
azores,xml.compress_exi.gz,3574585
azores,xml.compress_exi.bz2,3631859
azores,xml.compress_exi.zip,3573514
azores,xml.schema_bitpacked_exi,12135312
azores,xml.schema_bitpacked_exi.gz,5401095
azores,xml.schema_bitpacked_exi.bz2,5844643
azores,xml.schema_bitpacked_exi.zip,5418037
azores,xml.schema_bytealigned_exi,18797628
azores,xml.schema_bytealigned_exi.gz,3828136
azores,xml.schema_bytealigned_exi.bz2,4247052
azores,xml.schema_bytealigned_exi.zip,3851226
azores,xml.schema_precompress_exi,18803705
azores,xml.schema_precompress_exi.gz,3193168
azores,xml.schema_precompress_exi.bz2,4013895
azores,xml.schema_precompress_exi.zip,3206888
azores,xml.schema_compress_exi,3171858
azores,xml.schema_compress_exi.gz,2926389
azores,xml.schema_compress_exi.bz2,2953910
azores,xml.schema_compress_exi.zip,2926182
azores,xml.strict_bitpacked_exi,11829905
azores,xml.strict_bitpacked_exi.gz,4788916
azores,xml.strict_bitpacked_exi.bz2,5316044
azores,xml.strict_bitpacked_exi.zip,4797735
azores,xml.strict_bytealigned_exi,17241870
azores,xml.strict_bytealigned_exi.gz,3783891
azores,xml.strict_bytealigned_exi.bz2,4258104
azores,xml.strict_bytealigned_exi.zip,3805487
azores,xml.strict_precompress_exi,17247947
azores,xml.strict_precompress_exi.gz,3183005
azores,xml.strict_precompress_exi.bz2,4009191
azores,xml.strict_precompress_exi.zip,3196351
azores,xml.strict_compress_exi,3162517
azores,xml.strict_compress_exi.gz,2918815
azores,xml.strict_compress_exi.bz2,2945907
azores,xml.strict_compress_exi.zip,2918494
cuba,xml,295586745
cuba,xml.gz,28090121
cuba,xml.bz2,21963514
cuba,xml.zip,28105459
cuba,xml.bitpacked_exi,88890999
cuba,xml.bitpacked_exi.gz,34223183
cuba,xml.bitpacked_exi.bz2,28027134
cuba,xml.bitpacked_exi.zip,34427099
cuba,xml.bytealigned_exi,106785744
cuba,xml.bytealigned_exi.gz,23877433
cuba,xml.bytealigned_exi.bz2,22087987
cuba,xml.bytealigned_exi.zip,23874009
cuba,xml.precompress_exi,106789932
cuba,xml.precompress_exi.gz,20890399
cuba,xml.precompress_exi.bz2,21242457
cuba,xml.precompress_exi.zip,20972026
cuba,xml.compress_exi,20780273
cuba,xml.compress_exi.gz,19397603
cuba,xml.compress_exi.bz2,19700999
cuba,xml.compress_exi.zip,19394263
cuba,xml.schema_bitpacked_exi,67263393
cuba,xml.schema_bitpacked_exi.gz,29468137
cuba,xml.schema_bitpacked_exi.bz2,31626996
cuba,xml.schema_bitpacked_exi.zip,29530968
cuba,xml.schema_bytealigned_exi,105811630
cuba,xml.schema_bytealigned_exi.gz,20692473
cuba,xml.schema_bytealigned_exi.bz2,23399677
cuba,xml.schema_bytealigned_exi.zip,20802024
cuba,xml.schema_precompress_exi,105811802
cuba,xml.schema_precompress_exi.gz,17273765
cuba,xml.schema_precompress_exi.bz2,22219672
cuba,xml.schema_precompress_exi.zip,17347631
cuba,xml.schema_compress_exi,17152424
cuba,xml.schema_compress_exi.gz,15523092
cuba,xml.schema_compress_exi.bz2,15646593
cuba,xml.schema_compress_exi.zip,15523009
cuba,xml.strict_bitpacked_exi,65534972
cuba,xml.strict_bitpacked_exi.gz,30249283
cuba,xml.strict_bitpacked_exi.bz2,32466689
cuba,xml.strict_bitpacked_exi.zip,30333662
cuba,xml.strict_bytealigned_exi,96988930
cuba,xml.strict_bytealigned_exi.gz,20440430
cuba,xml.strict_bytealigned_exi.bz2,23519151
