file,variable,value
owm-1-1000cities,json,622540
owm-1-1000cities,json.gz,73737
owm-1-1000cities,json.bz2,39514
owm-1-1000cities,json.zip,73882
owm-1-1000cities,json.bson,660264
owm-1-1000cities,json.cbor,500162
owm-1-1000cities,json.eson,135909
owm-1-1000cities,json.bson.gz,94138
owm-1-1000cities,json.bson.bz2,48646
owm-1-1000cities,json.bson.zip,92520
owm-1-1000cities,json.cbor.gz,75133
owm-1-1000cities,json.cbor.bz2,43280
owm-1-1000cities,json.cbor.zip,77341
owm-1-1000cities,json.eson.gz,76761
owm-1-1000cities,json.eson.bz2,64602
owm-1-1000cities,json.eson.zip,76819
owm-1-100cities,json,62024
owm-1-100cities,json.gz,8113
owm-1-100cities,json.bz2,5916
owm-1-100cities,json.zip,8303
owm-1-100cities,json.bson,65691
owm-1-100cities,json.cbor,49671
owm-1-100cities,json.eson,14501
owm-1-100cities,json.bson.gz,10277
owm-1-100cities,json.bson.bz2,7946
owm-1-100cities,json.bson.zip,10602
owm-1-100cities,json.cbor.gz,8660
owm-1-100cities,json.cbor.bz2,6786
owm-1-100cities,json.cbor.zip,8765
owm-1-100cities,json.eson.gz,9526
owm-1-100cities,json.eson.bz2,9576
owm-1-100cities,json.eson.zip,9677
owm-1-10cities,json,6170
owm-1-10cities,json.gz,1275
owm-1-10cities,json.bz2,1289
owm-1-10cities,json.zip,1425
owm-1-10cities,json.bson,6531
owm-1-10cities,json.cbor,4926
owm-1-10cities,json.eson,1806
owm-1-10cities,json.bson.gz,1662
owm-1-10cities,json.bson.bz2,1854
owm-1-10cities,json.bson.zip,1819
owm-1-10cities,json.cbor.gz,1415
owm-1-10cities,json.cbor.bz2,1556
owm-1-10cities,json.cbor.zip,1560
owm-1-10cities,json.eson.gz,1602
owm-1-10cities,json.eson.bz2,1877
owm-1-10cities,json.eson.zip,1752
owm-1-110cities,json,68148
owm-1-110cities,json.gz,8709
owm-1-110cities,json.bz2,6228
owm-1-110cities,json.zip,8898
owm-1-110cities,json.bson,72181
owm-1-110cities,json.cbor,54529
owm-1-110cities,json.eson,15585
owm-1-110cities,json.bson.gz,11063
owm-1-110cities,json.bson.bz2,8383
owm-1-110cities,json.bson.zip,11236
owm-1-110cities,json.cbor.gz,9043
owm-1-110cities,json.cbor.bz2,7232
owm-1-110cities,json.cbor.zip,9348
owm-1-110cities,json.eson.gz,10179
owm-1-110cities,json.eson.bz2,10273
owm-1-110cities,json.eson.zip,10330
owm-1-120cities,json,74316
owm-1-120cities,json.gz,9380
owm-1-120cities,json.bz2,6637
owm-1-120cities,json.zip,9569
owm-1-120cities,json.bson,78746
owm-1-120cities,json.cbor,59447
owm-1-120cities,json.eson,16891
owm-1-120cities,json.bson.gz,11868
owm-1-120cities,json.bson.bz2,8824
owm-1-120cities,json.bson.zip,12173
owm-1-120cities,json.cbor.gz,9771
owm-1-120cities,json.cbor.bz2,7691
owm-1-120cities,json.cbor.zip,10076
owm-1-120cities,json.eson.gz,10971
owm-1-120cities,json.eson.bz2,11011
owm-1-120cities,json.eson.zip,11122
owm-1-130cities,json,80434
owm-1-130cities,json.gz,10053
owm-1-130cities,json.bz2,7016
owm-1-130cities,json.zip,10240
owm-1-130cities,json.bson,85252
owm-1-130cities,json.cbor,64330
owm-1-130cities,json.eson,18182
owm-1-130cities,json.bson.gz,12776
owm-1-130cities,json.bson.bz2,9423
owm-1-130cities,json.bson.zip,12892
owm-1-130cities,json.cbor.gz,10536
owm-1-130cities,json.cbor.bz2,8079
