file,variable,value
pdml-1-000001pkts,xml,11226
pdml-1-000001pkts,xml.gz,2509
pdml-1-000001pkts,xml.bz2,2498
pdml-1-000001pkts,xml.zip,2662
pdml-1-000001pkts,xml.bitpacked_exi,5502
pdml-1-000001pkts,xml.bitpacked_exi.gz,4464
pdml-1-000001pkts,xml.bitpacked_exi.bz2,4804
pdml-1-000001pkts,xml.bitpacked_exi.zip,4626
pdml-1-000001pkts,xml.bytealigned_exi,5994
pdml-1-000001pkts,xml.bytealigned_exi.gz,2626
pdml-1-000001pkts,xml.bytealigned_exi.bz2,2721
pdml-1-000001pkts,xml.bytealigned_exi.zip,2790
pdml-1-000001pkts,xml.precompress_exi,5991
pdml-1-000001pkts,xml.precompress_exi.gz,2495
pdml-1-000001pkts,xml.precompress_exi.bz2,2628
pdml-1-000001pkts,xml.precompress_exi.zip,2659
pdml-1-000001pkts,xml.compress_exi,2456
pdml-1-000001pkts,xml.compress_exi.gz,2510
pdml-1-000001pkts,xml.compress_exi.bz2,2895
pdml-1-000001pkts,xml.compress_exi.zip,2666
pdml-1-000001pkts,xml.schema_bitpacked_exi,5192
pdml-1-000001pkts,xml.schema_bitpacked_exi.gz,4147
pdml-1-000001pkts,xml.schema_bitpacked_exi.bz2,4446
pdml-1-000001pkts,xml.schema_bitpacked_exi.zip,4316
pdml-1-000001pkts,xml.schema_bytealigned_exi,5814
pdml-1-000001pkts,xml.schema_bytealigned_exi.gz,2432
pdml-1-000001pkts,xml.schema_bytealigned_exi.bz2,2485
pdml-1-000001pkts,xml.schema_bytealigned_exi.zip,2603
pdml-1-000001pkts,xml.schema_precompress_exi,5814
pdml-1-000001pkts,xml.schema_precompress_exi.gz,2314
pdml-1-000001pkts,xml.schema_precompress_exi.bz2,2416
pdml-1-000001pkts,xml.schema_precompress_exi.zip,2485
pdml-1-000001pkts,xml.schema_compress_exi,2253
pdml-1-000001pkts,xml.schema_compress_exi.gz,2314
pdml-1-000001pkts,xml.schema_compress_exi.bz2,2681
pdml-1-000001pkts,xml.schema_compress_exi.zip,2477
pdml-1-000001pkts,xml.strict_bitpacked_exi,5167
pdml-1-000001pkts,xml.strict_bitpacked_exi.gz,3955
pdml-1-000001pkts,xml.strict_bitpacked_exi.bz2,4327
pdml-1-000001pkts,xml.strict_bitpacked_exi.zip,4124
pdml-1-000001pkts,xml.strict_bytealigned_exi,5799
pdml-1-000001pkts,xml.strict_bytealigned_exi.gz,2427
pdml-1-000001pkts,xml.strict_bytealigned_exi.bz2,2482
pdml-1-000001pkts,xml.strict_bytealigned_exi.zip,2598
pdml-1-000001pkts,xml.strict_precompress_exi,5799
pdml-1-000001pkts,xml.strict_precompress_exi.gz,2312
pdml-1-000001pkts,xml.strict_precompress_exi.bz2,2418
pdml-1-000001pkts,xml.strict_precompress_exi.zip,2483
pdml-1-000001pkts,xml.strict_compress_exi,2252
pdml-1-000001pkts,xml.strict_compress_exi.gz,2313
pdml-1-000001pkts,xml.strict_compress_exi.bz2,2657
pdml-1-000001pkts,xml.strict_compress_exi.zip,2476
pdml-1-000002pkts,xml,19844
pdml-1-000002pkts,xml.gz,3326
pdml-1-000002pkts,xml.bz2,3274
pdml-1-000002pkts,xml.zip,3479
pdml-1-000002pkts,xml.bitpacked_exi,8493
pdml-1-000002pkts,xml.bitpacked_exi.gz,6437
pdml-1-000002pkts,xml.bitpacked_exi.bz2,6818
pdml-1-000002pkts,xml.bitpacked_exi.zip,6599
pdml-1-000002pkts,xml.bytealigned_exi,9376
pdml-1-000002pkts,xml.bytealigned_exi.gz,3697
pdml-1-000002pkts,xml.bytealigned_exi.bz2,3734
pdml-1-000002pkts,xml.bytealigned_exi.zip,3861
pdml-1-000002pkts,xml.precompress_exi,9400
pdml-1-000002pkts,xml.precompress_exi.gz,3366
pdml-1-000002pkts,xml.precompress_exi.bz2,3468
pdml-1-000002pkts,xml.precompress_exi.zip,3530
pdml-1-000002pkts,xml.compress_exi,3522
pdml-1-000002pkts,xml.compress_exi.gz,3576
pdml-1-000002pkts,xml.compress_exi.bz2,3989
pdml-1-000002pkts,xml.compress_exi.zip,3732
pdml-1-000002pkts,xml.schema_bitpacked_exi,8027
pdml-1-000002pkts,xml.schema_bitpacked_exi.gz,6114
pdml-1-000002pkts,xml.schema_bitpacked_exi.bz2,6404
pdml-1-000002pkts,xml.schema_bitpacked_exi.zip,6283
pdml-1-000002pkts,xml.schema_bytealigned_exi,9137
