file,variable,value
1040,xlsx,710796
1040,xlsx.zip,637665
1040,xlse,380524
bac,xlsx,4467714
bac,xlsx.zip,1839912
bac,xlse,698765
bandwidth,xlsx,53098
bandwidth,xlsx.zip,47342
bandwidth,xlse,36966
billets,xlsx,202263
billets,xlsx.zip,195589
billets,xlse,119784
bread,xlsx,16260
bread,xlsx.zip,13827
bread,xlse,12405
csi,xlsx,354390
csi,xlsx.zip,291796
csi,xlse,276627
devices,xlsx,18196
devices,xlsx.zip,15907
devices,xlse,11857
dm2,xlsx,302854
dm2,xlsx.zip,273250
dm2,xlse,108615
mmp,xlsx,651848
mmp,xlsx.zip,586625
mmp,xlse,489564
n6,xlsx,290641
n6,xlsx.zip,208242
n6,xlse,220968
packets,xlsx,14902
packets,xlsx.zip,11825
packets,xlse,11155
research,xlsx,144519
research,xlsx.zip,137990
research,xlse,108151
savvion,xlsx,12236
savvion,xlsx.zip,9870
savvion,xlse,8400
sched,xlsx,154528
sched,xlsx.zip,146872
sched,xlse,100248
trucks,xlsx,362775
trucks,xlsx.zip,340497
trucks,xlse,117072
